DATA (YYYY-MM-DD),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",CIDADE,LATITUDE,LONGITUDE
2006-12-03,0.09,910.2,910.44,909.98,1142.61,19.31,16.19,19.8,18.89,16.59,15.87,85.19,80.6,82.99,107.94,6.03,2.78,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-12-10,0.02,909.4,909.67,909.17,1108.9,19.74,16.17,20.24,19.31,16.58,15.85,83.1,78.49,80.85,108.56,5.27,2.41,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-12-17,0.01,911.45,911.7,911.24,1291.92,21.62,16.74,22.15,21.08,17.2,16.32,78.36,72.82,75.62,107.75,5.9,2.67,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-12-24,0.2,909.98,910.25,909.74,1189.36,22.3,17.59,22.83,21.85,18.03,17.07,79.2,74.01,76.87,180.6,5.86,2.51,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-12-31,0.05,913.25,913.52,913.02,1192.86,20.68,16.24,21.27,20.22,16.75,15.83,79.27,73.84,76.73,130.52,5.96,2.66,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-12-02,0.08,910.33,910.57,910.12,1530.37,18.98,12.91,19.71,18.31,13.48,12.34,73.54,67.05,70.39,113.26,5.54,2.41,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-12-09,0.7,908.45,908.73,908.19,1144.9,21.02,16.9,21.61,20.54,17.38,16.48,82.03,76.76,79.6,147.32,4.74,2.0,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-12-16,0.43,910.56,910.8,910.36,1259.57,19.02,14.45,19.55,18.53,15.0,14.01,79.41,74.42,76.86,130.08,5.83,2.62,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-12-23,0.08,909.67,909.94,909.44,1309.53,19.43,14.58,20.08,18.87,15.15,14.06,78.53,72.23,75.53,113.78,5.27,2.2,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2007-12-30,0.12,910.84,911.1,910.61,1364.34,22.49,16.52,23.17,21.8,17.21,15.93,75.46,68.2,71.71,146.39,4.94,1.86,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-12-07,0.04,909.63,909.84,909.39,1482.45,18.18,13.01,18.92,17.49,13.68,12.4,77.62,70.64,74.17,128.43,5.71,2.31,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-12-14,0.17,911.11,911.37,910.88,1331.81,19.75,14.31,20.38,19.12,14.95,13.69,77.93,71.11,74.51,141.42,5.91,2.3,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-12-21,0.13,908.94,909.17,908.72,1306.06,18.33,14.47,18.95,17.77,14.97,13.93,82.6,76.76,79.97,97.12,5.24,2.06,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2008-12-28,0.03,908.59,908.84,908.38,1447.34,20.62,15.48,21.3,20.0,16.06,14.95,77.43,71.41,74.49,124.09,5.86,2.33,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-12-06,0.13,909.5,909.76,909.21,1338.17,20.7,16.18,21.41,20.12,16.86,15.69,79.66,72.84,76.27,146.48,6.17,2.47,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-12-13,0.17,910.9,911.15,910.67,1231.39,19.78,15.16,20.45,19.16,15.77,14.61,78.86,72.15,75.61,132.19,6.28,2.56,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-12-20,0.46,912.7,912.97,912.44,1463.39,20.44,15.23,21.15,19.77,15.99,14.63,77.75,70.46,74.08,115.23,5.85,2.28,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2009-12-27,0.19,910.52,910.8,910.28,1297.35,22.24,17.92,22.94,21.6,18.52,17.28,81.68,74.59,78.3,142.19,4.82,1.79,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-12-05,0.44,908.28,908.58,907.94,943.13,20.22,15.99,20.7,19.83,16.52,15.41,80.73,73.91,77.33,150.7,5.67,2.19,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-12-12,0.16,907.17,907.47,906.91,1277.62,20.4,16.33,20.98,19.85,16.86,15.73,80.89,74.0,77.84,140.92,6.12,2.49,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-12-19,0.94,907.75,907.98,907.49,940.05,17.53,14.83,17.93,17.15,15.4,14.23,80.55,73.66,77.82,131.21,5.42,2.04,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2010-12-26,0.38,909.31,909.57,909.05,1173.45,21.54,16.54,22.16,21.03,17.25,15.86,80.2,71.87,76.25,133.12,4.69,1.7,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2011-12-04,0.1,909.69,909.91,909.47,1273.0,18.43,12.94,19.09,17.89,13.49,12.46,74.74,69.34,72.16,122.84,5.78,2.33,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2011-12-11,0.26,909.47,909.73,909.24,1137.22,19.12,14.39,19.67,18.61,14.89,13.97,77.9,73.03,75.42,95.05,5.01,1.92,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2011-12-18,0.08,906.23,906.45,905.99,1477.03,21.13,11.91,21.78,20.48,12.64,11.35,62.1,56.18,58.88,215.16,6.05,2.59,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2011-12-25,0.14,910.05,910.25,909.78,1412.51,22.54,12.01,23.35,21.77,12.77,11.17,59.7,52.82,56.45,167.73,5.62,2.04,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2012-12-02,0.39,910.59,910.91,910.3,1295.51,19.58,14.03,20.16,19.03,14.6,13.47,75.5,69.92,72.7,115.14,5.71,2.16,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2012-12-09,0.16,910.17,910.45,909.91,1336.86,22.86,16.93,23.52,22.22,17.52,16.4,74.83,68.64,71.6,154.88,5.19,2.0,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2012-12-16,0.1,907.19,907.48,906.94,1179.45,21.8,16.86,22.34,21.28,17.34,16.42,77.9,72.8,75.33,158.12,5.57,2.15,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2012-12-23,0.29,909.89,910.14,909.6,1368.85,22.34,16.66,22.97,21.79,17.22,16.18,75.15,69.54,72.32,158.76,6.31,2.51,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2012-12-30,0.54,910.11,910.39,909.84,1320.96,22.84,17.4,23.43,22.26,17.89,16.9,76.3,70.68,73.58,170.51,5.58,2.2,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2013-12-01,0.21,910.35,910.63,910.06,1129.08,19.47,15.45,20.01,18.98,15.91,15.06,81.45,76.7,79.08,106.74,5.23,1.88,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2013-12-08,0.13,909.11,909.4,908.84,1278.2,20.85,14.86,21.45,20.29,15.41,14.37,74.3,68.68,71.45,158.16,5.66,2.01,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2013-12-15,0.05,909.75,910.0,909.5,1284.12,20.01,14.89,20.62,19.45,15.48,14.36,77.49,71.42,74.45,136.43,5.16,1.84,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2013-12-22,0.03,908.57,908.76,908.36,1454.42,19.73,14.78,20.44,19.14,15.36,14.29,77.6,71.46,74.62,102.96,5.77,2.22,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2013-12-29,0.08,909.15,909.39,908.92,1264.58,22.93,16.64,23.55,22.34,17.29,16.05,73.95,67.6,70.82,164.81,4.73,1.62,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2014-12-07,0.04,912.27,912.5,912.05,1420.61,20.48,14.96,21.06,19.89,15.53,14.46,75.3,70.05,72.6,125.55,6.4,2.39,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2014-12-14,0.08,909.44,909.7,909.19,1290.11,21.85,16.73,22.51,21.3,17.3,16.22,77.17,71.43,74.38,152.71,5.36,1.82,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2014-12-21,0.11,909.65,909.91,909.41,1400.68,21.15,15.24,21.84,20.54,15.77,14.74,73.62,68.14,70.97,136.87,5.97,2.21,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2014-12-28,0.58,912.96,913.22,912.69,1053.63,20.0,16.72,20.46,19.54,17.13,16.27,85.06,80.8,83.02,155.65,6.03,2.06,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2015-12-06,0.43,911.77,912.03,911.54,899.66,18.15,16.05,18.51,17.79,16.42,15.69,90.38,86.79,88.67,113.04,4.57,1.67,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2015-12-13,0.16,910.43,910.71,910.14,1245.99,21.05,16.7,21.61,20.5,17.23,16.24,80.83,75.28,77.98,161.72,5.81,2.3,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2015-12-20,0.26,911.67,911.92,911.41,1176.21,22.0,16.85,22.58,21.44,17.33,16.33,77.19,71.48,74.46,171.73,5.84,2.22,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2015-12-27,0.68,911.27,911.57,911.0,1167.51,22.75,18.95,23.25,22.27,19.37,18.54,83.36,78.19,80.73,166.09,5.28,1.96,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2016-12-04,0.17,911.46,911.74,911.23,962.17,18.3,13.72,18.78,17.92,14.29,13.23,78.08,71.8,74.96,141.05,6.61,2.7,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2016-12-11,0.15,907.31,907.54,907.07,1199.58,20.67,13.78,21.22,20.11,14.53,13.08,72.04,64.3,67.93,156.51,5.02,1.88,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2016-12-18,0.01,912.68,912.89,912.42,1083.88,18.44,13.76,18.94,17.98,14.39,13.14,77.82,70.69,74.16,105.4,6.09,2.38,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2016-12-25,0.05,911.29,911.55,911.05,1301.34,22.16,15.63,22.72,21.6,16.23,14.86,71.91,64.46,68.4,197.73,5.51,2.13,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2017-12-03,0.0,910.73,910.96,910.51,1388.57,18.9,13.58,19.53,18.28,14.21,12.91,74.7,67.73,71.43,88.98,6.33,2.47,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2017-12-10,0.08,908.04,908.29,907.82,1314.56,20.96,14.63,21.58,20.36,15.37,13.76,73.04,64.91,69.28,122.28,5.01,1.92,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2017-12-17,0.15,911.19,911.42,910.9,1271.57,20.78,14.39,21.45,20.19,15.1,13.68,72.38,64.49,68.57,120.88,5.88,2.29,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2017-12-24,0.17,910.63,910.88,910.4,1086.71,21.22,15.53,21.72,20.76,16.17,14.83,76.7,68.99,72.75,181.61,5.63,2.25,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2017-12-31,0.62,909.43,909.67,909.2,972.65,19.84,14.51,20.34,19.39,15.24,13.86,77.39,68.98,72.72,126.95,4.93,1.87,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2018-12-02,0.23,910.37,910.62,910.13,1207.02,19.7,14.54,20.32,19.11,15.21,13.92,75.96,68.63,72.29,146.04,6.23,2.34,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2018-12-09,0.02,911.06,911.27,910.81,1495.91,18.38,11.14,19.09,17.74,11.95,10.46,68.46,61.2,64.55,118.99,6.59,2.57,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2018-12-16,0.22,914.28,914.56,914.0,1550.4,24.38,15.06,25.13,23.61,15.81,14.16,63.83,55.83,59.94,155.04,5.58,1.92,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2018-12-23,0.18,911.07,911.38,910.78,1442.57,24.09,16.1,24.81,23.4,16.82,15.32,68.95,61.27,64.88,194.84,5.97,2.1,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2018-12-30,0.02,910.22,910.48,909.96,1301.01,21.58,15.34,22.26,21.0,16.05,14.62,73.05,65.75,69.42,101.01,5.3,1.85,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2019-12-01,0.32,910.25,910.54,910.0,1344.42,18.46,12.67,19.08,17.87,13.35,12.03,72.27,65.67,69.21,115.39,5.29,1.77,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2019-12-08,0.17,910.08,910.32,909.83,1099.09,18.37,13.58,18.93,17.85,14.26,12.82,76.74,69.19,73.4,103.62,4.96,1.72,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2019-12-15,0.01,910.88,911.15,910.62,1116.66,20.24,15.08,20.74,19.78,15.61,14.4,76.3,69.3,73.03,144.43,5.08,1.69,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2019-12-22,0.12,910.41,910.65,910.17,1117.66,20.09,14.77,20.58,19.63,15.41,14.13,75.14,67.83,71.58,199.18,5.61,1.94,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2019-12-29,0.0,912.4,912.62,912.17,1647.32,22.18,15.32,22.92,21.51,16.02,14.45,71.29,63.44,67.79,97.39,5.39,1.84,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2020-12-06,0.48,911.4,911.67,911.14,857.78,19.18,14.62,19.63,18.78,15.11,13.95,75.9,69.21,73.06,125.29,5.64,2.16,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2020-12-13,0.15,910.85,911.1,910.6,1374.83,21.13,14.84,21.85,20.47,15.6,13.99,72.86,64.44,68.88,129.58,5.44,1.93,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2020-12-20,0.29,909.03,909.3,908.73,1204.09,21.63,15.47,22.34,21.01,16.26,14.77,75.09,66.46,70.51,177.66,5.35,1.9,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2020-12-27,0.01,911.23,911.43,911.01,1363.98,20.04,14.84,20.76,19.5,15.58,14.23,76.19,68.99,72.58,98.16,6.03,2.34,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2021-12-05,0.0,903.9,904.16,903.62,1632.59,23.86,13.22,24.59,23.21,13.78,12.68,76.2,70.09,73.22,222.73,7.63,3.37,"CURITIBA, Parana, Brazil",-25.4295963,-49.2712724
2006-12-03,0.31,921.34,921.58,921.08,1420.12,21.87,17.34,22.48,21.25,17.86,16.86,80.29,74.21,77.33,135.48,5.77,2.11,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2006-12-10,0.09,920.88,921.14,920.59,1277.1,21.83,18.01,22.41,21.3,18.46,17.55,83.26,77.39,80.41,140.12,4.58,1.71,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2006-12-17,0.02,922.66,922.91,922.41,1558.75,23.25,17.94,23.94,22.57,18.44,17.42,77.05,70.85,73.95,145.01,5.33,1.93,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2006-12-24,0.42,922.02,922.27,921.77,1194.41,22.34,19.14,22.86,21.9,19.56,18.71,86.12,80.87,83.66,214.77,4.39,1.67,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2006-12-31,0.16,924.8,925.08,924.54,1432.73,22.17,17.32,22.82,21.52,17.84,16.8,78.94,72.81,75.93,150.28,5.07,1.86,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2007-12-02,0.16,921.71,921.95,921.45,1625.46,21.24,15.21,22.06,20.46,15.97,14.61,75.21,67.46,71.26,160.57,4.77,1.71,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2007-12-09,0.55,920.1,920.37,919.84,1394.81,22.0,17.87,22.67,21.4,18.39,17.34,82.5,76.33,79.67,174.67,4.44,1.64,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2007-12-16,0.48,921.99,922.22,921.75,1520.15,20.95,15.78,21.64,20.29,16.47,15.22,78.57,72.3,75.38,130.46,5.38,2.01,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2007-12-23,0.16,921.4,921.64,921.13,1496.85,20.71,15.26,21.48,20.01,15.93,14.63,77.06,69.49,73.34,143.65,4.89,1.77,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2007-12-30,0.24,922.76,923.03,922.5,1463.53,21.93,17.97,22.67,21.2,18.57,17.31,83.8,76.76,80.41,174.25,4.56,1.61,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2008-12-07,0.0,921.58,921.8,921.34,1668.19,20.62,11.95,21.45,19.81,12.66,11.27,65.46,57.84,61.64,170.94,5.43,2.06,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2008-12-14,0.04,922.88,923.15,922.6,1498.57,21.67,14.4,22.47,20.96,15.0,13.84,69.79,63.08,66.61,163.36,5.57,2.05,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2008-12-21,0.2,920.47,920.72,920.23,1594.99,20.61,14.32,21.37,19.86,15.04,13.78,74.41,67.6,70.86,133.32,5.39,1.96,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2008-12-28,0.0,920.09,920.37,919.81,1596.7,22.66,15.14,23.5,21.93,15.76,14.51,69.15,62.39,65.91,145.88,5.46,2.04,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2009-12-06,0.29,919.89,920.16,919.59,1388.26,22.02,17.98,22.66,21.42,18.55,17.54,82.38,76.53,79.43,149.02,5.36,1.93,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2009-12-13,0.21,921.52,921.76,921.26,1284.88,21.45,17.31,22.02,20.95,17.79,16.91,81.15,76.05,78.65,151.92,5.49,1.96,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2009-12-20,0.38,924.5,924.8,924.17,1561.4,21.26,16.62,22.04,20.49,17.26,15.98,80.57,73.54,77.3,146.25,4.56,1.69,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2009-12-27,0.37,921.97,922.25,921.74,1268.01,22.74,19.36,23.41,22.17,19.85,18.86,85.52,79.61,82.92,190.83,3.75,1.24,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2010-12-05,0.44,920.18,920.52,919.8,1059.78,21.32,18.74,21.83,20.82,19.13,18.34,88.95,84.01,86.57,182.25,4.8,1.62,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2010-12-12,0.15,919.03,919.33,918.76,1301.08,21.52,18.16,22.1,20.97,18.68,17.63,85.72,80.35,83.14,168.6,4.98,1.71,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2010-12-19,0.27,919.68,919.93,919.41,1065.56,18.68,16.2,19.1,18.3,16.62,15.86,89.27,85.09,87.2,149.35,5.76,2.11,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2010-12-26,0.34,921.26,921.53,920.99,1400.02,22.38,19.09,23.03,21.81,19.61,18.59,86.37,80.1,83.43,184.01,4.41,1.6,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2011-12-04,0.0,921.5,921.74,921.26,1645.43,20.84,13.35,21.6,20.08,14.08,12.71,70.0,62.7,66.21,150.67,5.48,1.92,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2011-12-11,0.14,921.16,921.44,920.89,1377.35,21.05,16.58,21.69,20.4,17.15,16.07,81.57,75.27,78.43,143.67,4.47,1.39,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2011-12-18,0.15,918.83,919.06,918.59,1567.15,20.39,13.48,21.24,19.63,14.28,12.87,72.67,64.35,68.41,187.62,4.57,1.74,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2011-12-25,0.01,922.11,922.35,921.83,1542.16,22.81,13.53,23.75,21.93,14.35,12.68,64.8,56.54,60.79,168.15,5.09,1.81,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2012-12-02,0.15,922.21,922.52,921.92,1449.5,21.54,16.34,22.23,20.88,16.88,15.8,77.85,71.43,74.75,153.09,5.1,1.74,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2012-12-09,0.15,922.17,922.44,921.9,1491.5,23.8,18.73,24.51,23.1,19.25,18.12,78.99,72.11,75.82,179.81,4.28,1.33,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2012-12-16,0.13,919.25,919.54,918.98,1277.03,22.7,18.86,23.29,22.13,19.32,18.36,83.83,77.62,80.78,188.38,4.58,1.48,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2012-12-23,0.3,921.78,922.03,921.47,1421.08,23.41,18.93,24.13,22.71,19.49,18.32,81.19,74.08,77.79,176.12,5.41,1.81,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2012-12-30,0.46,922.3,922.59,921.99,1322.89,22.61,18.71,23.34,21.92,19.19,17.96,83.57,75.74,80.24,184.05,4.14,1.22,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2013-12-01,0.26,922.0,922.33,921.68,1340.01,21.42,16.51,22.08,20.82,17.0,16.07,78.17,72.48,75.39,152.79,5.61,1.88,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2013-12-08,0.39,921.33,921.63,921.05,1462.04,21.71,16.96,22.35,21.07,17.53,16.42,79.7,73.52,76.58,176.38,4.87,1.69,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2013-12-15,0.06,921.5,921.77,921.24,1481.34,21.85,16.79,22.53,21.21,17.47,16.26,77.97,71.5,74.6,140.47,5.0,1.73,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2013-12-22,0.0,920.09,920.33,919.84,1671.87,21.95,14.63,22.76,21.19,15.31,13.99,69.33,62.49,65.96,128.2,5.94,2.15,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2013-12-29,0.06,921.22,921.47,920.97,1450.87,23.28,17.55,24.04,22.61,18.11,17.0,76.19,69.67,73.07,165.04,4.64,1.64,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2014-12-07,0.26,923.89,924.12,923.67,1436.22,21.87,16.58,22.54,21.21,17.09,16.12,76.64,70.8,73.73,138.01,5.46,2.01,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2014-12-14,0.24,921.45,921.72,921.18,1392.04,22.51,18.24,23.17,21.91,18.78,17.74,81.42,74.8,78.31,165.92,4.34,1.35,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2014-12-21,0.03,921.49,921.78,921.24,1408.44,22.01,16.72,22.65,21.4,17.25,16.24,76.41,70.49,73.51,161.38,5.21,1.86,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2014-12-28,0.49,924.76,925.0,924.49,1158.7,21.1,17.89,21.61,20.62,18.32,17.51,85.4,80.57,83.04,176.28,5.57,1.98,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2015-12-06,0.34,923.86,924.13,923.6,1045.14,19.5,17.29,19.96,19.09,17.69,16.94,89.43,85.86,87.79,168.34,3.75,1.16,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2015-12-13,0.21,922.59,922.88,922.27,1317.61,21.94,18.39,22.51,21.4,18.85,17.96,83.97,78.86,81.53,209.08,4.69,1.66,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2015-12-20,0.17,923.51,923.8,923.24,1351.59,22.69,18.8,23.33,22.08,19.3,18.36,82.85,77.03,79.95,162.09,4.82,1.22,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2015-12-27,0.3,923.35,923.66,923.08,1326.56,23.34,19.86,23.97,22.78,20.31,19.44,84.58,79.35,82.11,178.92,4.56,1.27,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2016-12-04,0.67,923.43,923.72,923.19,1211.42,20.04,16.52,20.57,19.54,16.98,16.11,83.55,78.89,81.31,166.58,5.67,2.05,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2016-12-11,0.43,919.6,919.84,919.34,1292.87,21.58,16.98,22.22,20.98,17.51,16.42,80.64,74.71,77.85,187.65,4.42,1.57,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2016-12-18,0.13,924.13,924.36,923.86,1419.2,20.77,16.11,21.44,20.16,16.73,15.56,79.41,73.59,76.5,142.95,5.43,1.92,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2016-12-25,0.31,923.65,923.91,923.39,1348.41,21.61,17.92,22.19,21.0,18.42,17.46,84.18,78.4,81.29,172.76,3.89,1.35,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2017-12-03,0.0,922.15,922.41,921.89,1600.48,21.38,15.03,22.07,20.71,15.64,14.42,72.63,66.27,69.6,139.34,5.17,1.74,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2017-12-10,0.35,919.96,920.23,919.73,1410.37,22.3,17.59,22.93,21.71,18.16,17.04,80.22,74.3,77.32,152.51,3.97,1.42,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2017-12-17,0.0,922.92,923.17,922.63,1547.83,22.54,15.91,23.27,21.79,16.52,15.32,72.06,65.52,68.71,150.38,5.01,1.76,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2017-12-24,0.62,922.71,922.98,922.47,998.73,21.25,18.96,21.75,20.82,19.27,18.64,89.24,84.89,87.3,182.92,4.37,1.44,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2017-12-31,0.6,921.4,921.63,921.17,1106.61,21.3,19.09,21.77,20.87,19.46,18.71,89.96,85.61,87.89,178.35,3.6,1.19,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2018-12-02,0.18,922.1,922.39,921.84,1463.66,21.96,16.33,22.7,21.27,16.9,15.83,75.81,69.3,72.54,166.05,5.25,1.86,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2018-12-09,0.18,922.96,923.19,922.7,1709.53,20.7,11.37,21.57,19.96,12.25,10.61,63.86,56.41,60.19,163.9,5.09,1.85,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2018-12-16,0.06,926.26,926.53,925.97,1666.55,24.54,15.88,25.44,23.69,16.52,15.28,65.97,58.41,62.12,173.59,4.64,1.72,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2018-12-23,0.25,923.46,923.78,923.18,1433.95,23.91,18.81,24.61,23.21,19.3,18.27,79.0,72.83,76.05,202.62,4.39,1.45,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
2018-12-30,0.08,921.85,922.13,921.55,1552.03,23.19,18.05,23.9,22.56,18.62,17.57,77.88,71.94,74.89,143.98,4.06,1.35,"IVAI, Parana, Brazil",-25.0069795,-50.8568896
